Unnamed: 0,City,Latitude,Longitude,CS,Population,Electricity Consumption
0,Abrud,46.2746751,23.0650287,False,5072,0.7048
1,Adjud,46.1005122,27.1810469,False,16045,0.8543999999999999
2,Agnita,45.9746578,24.6233717,False,8732,0.7791999999999999
3,Aiud,46.3160411,23.731480410601783,False,22876,0.8775999999999999
4,Alba Iulia,46.0713439,23.57207875207549,True,63536,0.916
5,Aleșd,47.0661535,22.40702425764579,False,10066,0.7976
6,Alexandria,43.9702236,25.3288462,True,45434,0.9088
7,Amara,44.6173543,27.314991,True,7345,0.7559999999999999
8,Anina,45.0880712,21.853167,False,7485,0.7607999999999999
9,Aninoasa,45.4074338,23.3163652,False,4360,0.6928
10,Arad,46.1753793,21.3196342,True,7418,0.7592
11,Ardud,47.6398625,22.889335,False,6231,0.7272
12,Avrig,45.7272261,24.3759547,False,12815,0.832
13,Azuga,45.4444605,25.5693588,True,4440,0.6943999999999999
14,Babadag,44.891874,28.716004762060813,False,8940,0.7816
15,Băbeni,44.9753376,24.234565,False,8451,0.7751999999999999
16,Bacău,46.4228703,26.716399078506697,False,5375,0.7135999999999999
17,Baia de Aramă,45.0000806,22.8104397,False,5349,0.7127999999999999
18,Baia de Arieș,46.3802511,23.2812063,False,3461,0.6839999999999999
19,Baia Mare,47.6775425,23.620772353105927,False,123738,0.924
20,Baia Sprie,47.6615913,23.6922094,False,15476,0.8512
21,Băicoi,45.0338367,25.8628394,True,17981,0.8615999999999999
22,Băile Govora,45.079229,24.1840221,False,2449,0.6791999999999999
23,Băile Herculane,44.8785058,22.4143883,False,5008,0.7031999999999999
24,Băile Olănești,45.2050901,24.2419916,False,4186,0.6903999999999999
25,Băile Tușnad,46.1440473,25.8587996,True,1641,0.6759999999999999
26,Băilești,44.0230929,23.3450079,False,17437,0.8592
27,Bălan,47.1543594,23.3076523,False,6115,0.7263999999999999
28,Bălcești,44.6170199,23.9389534,False,4864,0.6991999999999999
29,Balș,44.350577,24.1000283,False,18164,0.8623999999999999
30,Baraolt,46.07504305,25.605378899414788,False,8672,0.7776
31,Bârlad,46.227535,27.66897,False,55837,0.9128
32,Bechet,43.784314,23.9574422,False,3657,0.6863999999999999
33,Beclean,47.1799314,24.1791099,False,10628,0.8111999999999999
34,Beiuș,46.6667533,22.3527085,False,10667,0.8119999999999999
35,Berbești,44.9888658,23.8686348,False,4836,0.6983999999999999
36,Berești,44.9360042,24.0327912,False,2916,0.6808
37,Bicaz,46.9112275,26.0903478,False,6543,0.7343999999999999
38,Bistrița,47.13897525,24.49755169876672,False,75076,0.9184
39,Blaj,46.1731211,23.92900785567878,True,20630,0.8687999999999999
40,Bocșa,45.3781756,21.7312589,False,15842,0.8528
41,Boldești-Scăeni,45.0317528,26.0309441,True,11137,0.8168
42,Bolintin-Vale,44.4474445,25.7585401,True,12929,0.8328
43,Borșa,47.6554079,24.6639308,True,27611,0.8896
44,Borsec,46.9639588,25.5609031,False,2585,0.6799999999999999
45,Botoșani,47.8528263,26.759333980148376,False,5128,0.7063999999999999
46,Brad,46.1302414,22.7921521,False,14495,0.8455999999999999
47,Bragadiru,44.373512,25.9804935,True,15329,0.8503999999999999
48,Brăila,45.2716092,27.9742932,True,4626,0.6951999999999999
49,Brașov,45.6523093,25.6102746,True,5615,0.7192
50,Breaza,46.761177,24.6367393,False,15928,0.8535999999999999
51,Brezoi,45.3432742,24.2442404,False,6022,0.724
52,Broșteni,47.239192,25.6979188,False,5506,0.7167999999999999
53,Bucecea,47.773652,26.43837976847119,False,4274,0.692
54,Municipiul București,44.4361414,26.1027202,True,1898425,0.9304
55,Budești,45.0648653,24.3874477,True,7725,0.7687999999999999
56,Buftea,44.5598204,25.9498918,True,22178,0.8752
57,Buhuși,46.7162854,26.7047029,False,14562,0.8463999999999999
58,Bumbești-Jiu,45.1794165,23.3797641,False,8932,0.7807999999999999
59,Bușteni,45.4147706,25.5354853,True,8894,0.7799999999999999
60,Buzău,45.26925815,26.7748172789942,False,7614,0.7647999999999999
61,Buziaș,45.64921,21.6042462,False,7023,0.7464
62,Cajvana,47.7016993,25.9669237,False,6901,0.74
63,Calafat,43.9942983,22.9337027,False,17336,0.8583999999999999
64,Călan,45.7348308,22.9972247,True,11279,0.8175999999999999
65,Călărași,44.31518745,27.13901564813344,False,6667,0.7352
66,Călimănești,45.2401542,24.3412638,True,7622,0.7656
67,Câmpeni,46.3648431,23.0508775,False,7221,0.7512
68,Câmpia Turzii,46.5471807,23.8869669,True,22223,0.8759999999999999
69,Câmpina,45.1256956,25.7348044,True,32935,0.8959999999999999
70,Câmpulung Moldovenesc,47.5297764,25.5597482,False,16722,0.856
71,Câmpulung,45.2697704,25.0438643,False,31767,0.8944
72,Caracal,44.1123292,24.3463095,False,30954,0.8936
73,Caransebeș,45.412653000000006,22.218888376211915,True,24689,0.8824
74,Carei,47.679443500000005,22.46310391716112,False,21112,0.8704
75,Cavnic,47.6540062,23.8283247,False,4976,0.7015999999999999
76,Căzănești,46.1428867,22.5082795,False,3271,0.6823999999999999
77,Cehu Silvaniei,47.4111276,23.1821246,False,7214,0.7504
78,Cernavodă,44.3416349,28.0316248,True,17022,0.8575999999999999
79,Chișineu-Criș,46.5242228,21.5179314,False,7987,0.7711999999999999
80,Chitila,44.5059871,25.987703,True,14184,0.8408
81,Ciacova,45.5080566,21.1286196,False,5348,0.712
82,Cisnădie,45.7168421,24.1546237,True,14282,0.8423999999999999
83,Cluj-Napoca,46.769379,23.5899542,True,309136,0.9296
84,Codlea,45.6925169,25.4489876,False,21708,0.8719999999999999
85,Comănești,46.4216579,26.438008,False,19568,0.8679999999999999
86,Comarnic,45.2428373,25.6342908,False,11970,0.8255999999999999
87,Constanța,44.1767161,28.6507598,True,5529,0.7175999999999999
